	Image_Metadata_Plate	Image_Metadata_Well	cell_count
291	SQ00014814	M04	2567
292	SQ00014814	M05	2970
293	SQ00014814	M06	3010
294	SQ00014814	M07	1370
295	SQ00014814	M08	2763
296	SQ00014814	M09	2648
297	SQ00014814	M10	3155
298	SQ00014814	M11	2742
299	SQ00014814	M12	2674
300	SQ00014814	M13	389
301	SQ00014814	M14	270
302	SQ00014814	M15	469
303	SQ00014814	M16	1759
304	SQ00014814	M17	1979
305	SQ00014814	M18	2417
306	SQ00014814	M19	2791
307	SQ00014814	M20	2647
308	SQ00014814	M21	2676
309	SQ00014814	M22	2538
310	SQ00014814	M23	2735
311	SQ00014814	M24	2154
312	SQ00014814	N01	803
313	SQ00014814	N02	1710
314	SQ00014814	N03	2058
315	SQ00014814	N04	1946
316	SQ00014814	N05	2270
317	SQ00014814	N06	2261
318	SQ00014814	N07	1492
319	SQ00014814	N08	2261
320	SQ00014814	N09	2528
321	SQ00014814	N10	2443
322	SQ00014814	N11	2467
323	SQ00014814	N12	2866
324	SQ00014814	N13	2073
325	SQ00014814	N14	2732
326	SQ00014814	N15	2562
327	SQ00014814	N16	2511
328	SQ00014814	N17	2647
329	SQ00014814	N18	2826
330	SQ00014814	N19	2341
331	SQ00014814	N20	2640
332	SQ00014814	N21	2552
333	SQ00014814	N22	2389
334	SQ00014814	N23	2139
335	SQ00014814	N24	2160
336	SQ00014814	O01	65
337	SQ00014814	O02	90
338	SQ00014814	O03	69
339	SQ00014814	O04	59
340	SQ00014814	O05	84
341	SQ00014814	O06	54
342	SQ00014814	O07	2520
343	SQ00014814	O08	2402
344	SQ00014814	O09	2349
345	SQ00014814	O10	2133
346	SQ00014814	O11	2618
347	SQ00014814	O12	2694
348	SQ00014814	O13	320
349	SQ00014814	O14	161
350	SQ00014814	O15	267
351	SQ00014814	O16	261
352	SQ00014814	O17	487
353	SQ00014814	O18	1015
354	SQ00014814	O19	1673
355	SQ00014814	O20	1811
356	SQ00014814	O21	2082
357	SQ00014814	O22	2017
358	SQ00014814	O23	2066
359	SQ00014814	O24	2160
