plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7161-01-LM6-026	J19	BRD-K91315211-300-05-7	2.09116000000000014	9.99999999999999999	DMSO
C-7161-01-LM6-026	J20	BRD-K91315211-300-05-7	0.697053333332797185	3.33333333333076923	DMSO
C-7161-01-LM6-026	J21	BRD-K91315211-300-05-7	0.232351111112004786	1.11111111111538462	DMSO
C-7161-01-LM6-026	J22	BRD-K91315211-300-05-7	0.0774503703701320666	0.370370370369230769	DMSO
C-7161-01-LM6-026	J23	BRD-K91315211-300-05-7	0.0258167901233773555	0.123456790123076923	DMSO
C-7161-01-LM6-026	J24	BRD-K91315211-300-05-7	0.00860559670832864672	0.0411522633769230769	DMSO
C-7161-01-LM6-026	K01	BRD-K91601245-001-12-0	1.52176999999999992	9.99999999999999999	DMSO
C-7161-01-LM6-026	K02	BRD-K91601245-001-12-0	0.507256666666276444	3.33333333333076923	DMSO
C-7161-01-LM6-026	K03	BRD-K91601245-001-12-0	0.169085555556205877	1.11111111111538462	DMSO
C-7161-01-LM6-026	K04	BRD-K91601245-001-12-0	0.0563618518516784280	0.370370370369230769	DMSO
C-7161-01-LM6-026	K05	BRD-K91601245-001-12-0	0.0187872839505594760	0.123456790123076923	DMSO
C-7161-01-LM6-026	K06	BRD-K91601245-001-12-0	0.00626242798391002276	0.0411522633769230769	DMSO
C-7161-01-LM6-026	K07	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K08	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K09	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K10	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K11	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K12	BRD-K60230970-001-10-0	9.512	19.9991253536430714	DMSO
C-7161-01-LM6-026	K13	BRD-A91877226-001-01-4	3.59350099999999997	9.99999999999999999	DMSO
C-7161-01-LM6-026	K14	BRD-A91877226-001-01-4	1.19783366666574525	3.33333333333076923	DMSO
C-7161-01-LM6-026	K15	BRD-A91877226-001-01-4	0.399277888890424572	1.11111111111538462	DMSO
C-7161-01-LM6-026	K16	BRD-A91877226-001-01-4	0.133092629629220113	0.370370370369230769	DMSO
C-7161-01-LM6-026	K17	BRD-A91877226-001-01-4	0.0443642098764067043	0.123456790123076923	DMSO
C-7161-01-LM6-026	K18	BRD-A91877226-001-01-4	0.0147880699597236453	0.0411522633769230769	DMSO
C-7161-01-LM6-026	K19	BRD-K92049597-001-20-8	2.53262599999999992	9.99999999999999999	DMSO
C-7161-01-LM6-026	K20	BRD-K92049597-001-20-8	0.844208666666017248	3.33333333333076923	DMSO
