broad_sample	broad_id	plate_map_name	solvent
BRD-K74141488-003-11-2	BRD-K74141488	C-7161-01-LM6-024	DMSO
BRD-K74195153-050-12-1	BRD-K74195153	C-7161-01-LM6-024	DMSO
BRD-K74339692-001-01-9	BRD-K74339692	C-7161-01-LM6-024	DMSO
BRD-K74371986-001-01-7	BRD-K74371986	C-7161-01-LM6-024	DMSO
BRD-K74763371-002-04-0	BRD-K74763371	C-7161-01-LM6-024	DMSO
BRD-A74914197-001-02-9	BRD-A74914197	C-7161-01-LM6-024	DMSO
BRD-K75037734-003-13-9	BRD-K75037734	C-7161-01-LM6-024	DMSO
BRD-A75172220-001-04-0	BRD-A75172220	C-7161-01-LM6-024	DMSO
BRD-K74765201-001-16-7	BRD-K74765201	C-7161-01-LM6-024	DMSO
BRD-K75089421-003-24-5	BRD-K75089421	C-7161-01-LM6-024	DMSO
BRD-K75295174-001-05-0	BRD-K75295174	C-7161-01-LM6-024	DMSO
BRD-K75699339-057-08-1	BRD-K75699339	C-7161-01-LM6-024	DMSO
BRD-K75844781-003-08-0	BRD-K75844781	C-7161-01-LM6-024	DMSO
BRD-K76197012-001-01-2	BRD-K76197012	C-7161-01-LM6-024	DMSO
BRD-A75726477-003-21-3	BRD-A75726477	C-7161-01-LM6-024	DMSO
BRD-K75911534-001-01-6	BRD-K75911534	C-7161-01-LM6-024	DMSO
BRD-K76022557-003-02-7	BRD-K76022557	C-7161-01-LM6-024	DMSO
BRD-K76205745-237-16-5	BRD-K76205745	C-7161-01-LM6-024	DMSO
BRD-A76747559-001-03-1	BRD-A76747559	C-7161-01-LM6-024	DMSO
BRD-K76810206-001-07-3	BRD-K76810206	C-7161-01-LM6-024	DMSO
BRD-K76841105-001-04-7	BRD-K76841105	C-7161-01-LM6-024	DMSO
BRD-K76953762-001-08-5	BRD-K76953762	C-7161-01-LM6-024	DMSO
BRD-K76775527-001-30-2	BRD-K76775527	C-7161-01-LM6-024	DMSO
BRD-K76812510-236-14-8	BRD-K76812510	C-7161-01-LM6-024	DMSO
BRD-K77396579-300-01-0	BRD-K77396579	C-7161-01-LM6-024	DMSO
BRD-K77695569-001-30-0	BRD-K77695569	C-7161-01-LM6-024	DMSO
BRD-K60230970-001-10-0	BRD-K60230970	C-7161-01-LM6-024	DMSO
BRD-K78010432-001-21-5	BRD-K78010432	C-7161-01-LM6-024	DMSO
BRD-K78096648-001-05-7	BRD-K78096648	C-7161-01-LM6-024	DMSO
BRD-K45275534-001-01-3	BRD-K45275534	C-7161-01-LM6-024	DMSO
BRD-K77947974-001-16-3	BRD-K77947974	C-7161-01-LM6-024	DMSO
BRD-K78055238-001-01-8	BRD-K78055238	C-7161-01-LM6-024	DMSO
BRD-K78113049-001-16-2	BRD-K78113049	C-7161-01-LM6-024	DMSO
BRD-A78341343-001-01-6	BRD-A78341343	C-7161-01-LM6-024	DMSO
BRD-K78485176-001-07-8	BRD-K78485176	C-7161-01-LM6-024	DMSO
BRD-K78567475-001-01-4	BRD-K78567475	C-7161-01-LM6-024	DMSO
BRD-K78692225-001-24-5	BRD-K78692225	C-7161-01-LM6-024	DMSO
BRD-K78431006-001-10-2	BRD-K78431006	C-7161-01-LM6-024	DMSO
BRD-K78513633-001-15-7	BRD-K78513633	C-7161-01-LM6-024	DMSO
BRD-K78659596-001-03-9	BRD-K78659596	C-7161-01-LM6-024	DMSO
BRD-A78723049-001-01-2	BRD-A78723049	C-7161-01-LM6-024	DMSO
BRD-A79431551-001-01-1	BRD-A79431551	C-7161-01-LM6-024	DMSO
