compound_plate_barcode,well_position,broad_sample,mg_per_ml,mmoles_per_liter,solvent,volume_ul,amount_mg
AB00022423,D06,BRD-K50498985-001-03-3,5.12502e-002,1.e-001,DMSO,10,0.001
AB00022423,D07,BRD-A97437073-001-04-9,3.57427,10,DMSO,10,0.036
AB00022423,D08,BRD-A97437073-001-04-9,0.357427,1,DMSO,10,0.004
AB00022423,D09,BRD-A97437073-001-04-9,3.57427e-002,1.e-001,DMSO,10,0.000
AB00022423,D10,BRD-A48430263-001-06-9,3.56439,10,DMSO,10,0.036
AB00022423,D11,BRD-A48430263-001-06-9,0.356439,1,DMSO,10,0.004
AB00022423,D12,BRD-A48430263-001-06-9,3.56439e-002,1.e-001,DMSO,10,0.000
AB00022423,D13,BRD-K17953908-001-01-7,3.90407,10,DMSO,10,0.039
AB00022423,D14,BRD-K17953908-001-01-7,0.390407,1,DMSO,10,0.004
AB00022423,D15,BRD-K17953908-001-01-7,3.90407e-002,1.e-001,DMSO,10,0.000
AB00022423,D16,BRD-A30655177-001-14-0,3.60001,10,DMSO,10,0.036
AB00022423,D17,BRD-A30655177-001-14-0,0.360001,1,DMSO,10,0.004
AB00022423,D18,BRD-A30655177-001-14-0,3.60001e-002,1.e-001,DMSO,10,0.000
AB00022423,D19,BRD-K15574380-001-01-0,3.593501,10,DMSO,10,0.036
AB00022423,D20,BRD-K15574380-001-01-0,0.3593501,1,DMSO,10,0.004
AB00022423,D21,BRD-K15574380-001-01-0,3.593501e-002,1.e-001,DMSO,10,0.000
AB00022423,D22,BRD-K51318897-001-13-8,2.99348,10,DMSO,10,0.030
AB00022423,D23,BRD-K51318897-001-13-8,0.299348,1,DMSO,10,0.003
AB00022423,D24,BRD-K51318897-001-13-8,2.99348e-002,1.e-001,DMSO,10,0.000
AB00022423,E01,BRD-K33586289-003-02-8,4.790529069,9.99995630773084,DMSO,10,0.048
AB00022423,E02,BRD-K33586289-003-02-8,0.479052907,0.999995630981829,DMSO,10,0.005
AB00022423,E03,BRD-K33586289-003-02-8,4.7905291e-002,9.99995637244158e-002,DMSO,10,0.000
AB00022423,E04,BRD-K89839824-001-04-6,4.58488,10,DMSO,10,0.046
AB00022423,E05,BRD-K89839824-001-04-6,0.458488,1,DMSO,10,0.005
AB00022423,E06,BRD-K89839824-001-04-6,4.58488e-002,1.e-001,DMSO,10,0.000
AB00022423,E07,BRD-K45192137-001-01-1,3.924611,10,DMSO,10,0.039
AB00022423,E08,BRD-K45192137-001-01-1,0.3924611,1,DMSO,10,0.004
AB00022423,E09,BRD-K45192137-001-01-1,3.924611e-002,0.1,DMSO,10,0.000
AB00022423,E10,BRD-A02367930-001-02-9,2.9640336,10,DMSO,10,0.030
AB00022423,E11,BRD-A02367930-001-02-9,0.29640336,1,DMSO,10,0.003
AB00022423,E12,BRD-A02367930-001-02-9,2.9640336e-002,1.e-001,DMSO,10,0.000
AB00022423,E13,BRD-K62014504-001-02-8,5.796887,10,DMSO,10,0.058
AB00022423,E14,BRD-K62014504-001-02-8,0.5796887,1,DMSO,10,0.006
AB00022423,E15,BRD-K62014504-001-02-8,5.796887e-002,1.e-001,DMSO,10,0.001
AB00022423,E16,BRD-K33551950-001-01-6,3.64777,10,DMSO,10,0.036
AB00022423,E17,BRD-K33551950-001-01-6,0.364777,1,DMSO,10,0.004
AB00022423,E18,BRD-K33551950-001-01-6,3.64777e-002,1.e-001,DMSO,10,0.000
AB00022423,E19,BRD-K92042497-001-01-4,3.104299,10,DMSO,10,0.031
AB00022423,E20,BRD-K92042497-001-01-4,0.3104299,1,DMSO,10,0.003
AB00022423,E21,BRD-K92042497-001-01-4,3.104299e-002,0.1,DMSO,10,0.000
AB00022423,E22,BRD-A94993966-001-05-1,3.186852306,10.5038222105325,DMSO,10,0.032
AB00022423,E23,BRD-A94993966-001-05-1,0.318685231,1.05038222237164,DMSO,10,0.003
AB00022423,E24,BRD-A94993966-001-05-1,3.1868523e-002,0.105038221907565,DMSO,10,0.000
AB00022423,F01,BRD-A44780397-001-01-1,4.295937,10,DMSO,10,0.043
AB00022423,F02,BRD-A44780397-001-01-1,0.4295937,1,DMSO,10,0.004
AB00022423,F03,BRD-A44780397-001-01-1,4.295937e-002,1.e-001,DMSO,10,0.000
AB00022423,F04,BRD-K77987382-001-06-6,2.9529272,10,DMSO,10,0.030
AB00022423,F05,BRD-K77987382-001-06-6,0.29529272,1,DMSO,10,0.003
AB00022423,F06,BRD-K77987382-001-06-6,2.9529272e-002,0.1,DMSO,10,0.000
AB00022423,F07,BRD-K99383816-001-01-9,2.001671,10,DMSO,10,0.020
AB00022423,F08,BRD-K99383816-001-01-9,0.2001671,1,DMSO,10,0.002
AB00022423,F09,BRD-K99383816-001-01-9,2.001671e-002,1.e-001,DMSO,10,0.000
AB00022423,F10,BRD-A84465106-001-04-6,3.884144,10,DMSO,10,0.039
AB00022423,F11,BRD-A84465106-001-04-6,0.3884144,1,DMSO,10,0.004
AB00022423,F12,BRD-A84465106-001-04-6,3.884144e-002,1.e-001,DMSO,10,0.000
AB00022423,F13,BRD-K74514084-001-02-1,4.37518,10,DMSO,10,0.044
AB00022423,F14,BRD-K74514084-001-02-1,0.437518,1,DMSO,10,0.004
AB00022423,F15,BRD-K74514084-001-02-1,4.37518e-002,0.1,DMSO,10,0.000
AB00022423,F16,BRD-K64034691-001-01-9,4.655031329,9.99992766803471,DMSO,10,0.047
AB00022423,F17,BRD-K64034691-001-01-9,0.465503133,0.999992767018291,DMSO,10,0.005
AB00022423,F18,BRD-K64034691-001-01-9,4.6550313e-002,9.99992760573698e-002,DMSO,10,0.000
AB00022423,F19,BRD-K25630527-001-02-0,4.69942,10,DMSO,10,0.047
AB00022423,F20,BRD-K25630527-001-02-0,0.469942,1,DMSO,10,0.005
AB00022423,F21,BRD-K25630527-001-02-0,4.69942e-002,1.e-001,DMSO,10,0.000
AB00022423,F22,BRD-K02404261-001-16-7,1.941906,10,DMSO,10,0.019
AB00022423,F23,BRD-K02404261-001-16-7,0.1941906,1,DMSO,10,0.002
AB00022423,F24,BRD-K02404261-001-16-7,1.941906e-002,1.e-001,DMSO,10,0.000
AB00022423,G01,BRD-K57569181-001-27-5,2.78307,10,DMSO,10,0.028
AB00022423,G02,BRD-K57569181-001-27-5,0.278307,1,DMSO,10,0.003
AB00022423,G03,BRD-K57569181-001-27-5,2.78307e-002,1.e-001,DMSO,10,0.000
AB00022423,G04,BRD-K86718786-001-02-5,2.983397,10,DMSO,10,0.030
AB00022423,G05,BRD-K86718786-001-02-5,0.2983397,1,DMSO,10,0.003
AB00022423,G06,BRD-K86718786-001-02-5,2.983397e-002,0.1,DMSO,10,0.000
AB00022423,G07,BRD-K19034817-001-04-8,4.725834591,10.0001007049196,DMSO,10,0.047
AB00022423,G08,BRD-K19034817-001-04-8,0.472583459,1.00001007028036,DMSO,10,0.005
AB00022423,G09,BRD-K19034817-001-04-8,4.7258346e-002,0.100001007239641,DMSO,10,0.000
AB00022423,G10,BRD-K62581435-001-02-0,4.194763,10,DMSO,10,0.042
AB00022423,G11,BRD-K62581435-001-02-0,0.4194763,1,DMSO,10,0.004
AB00022423,G12,BRD-K62581435-001-02-0,4.194763e-002,1.e-001,DMSO,10,0.000
AB00022423,G13,,,,DMSO,10,0.000
AB00022423,G14,,,,DMSO,10,0.000
AB00022423,G15,,,,DMSO,10,0.000
AB00022423,G16,,,,DMSO,10,0.000
AB00022423,G17,,,,DMSO,10,0.000
AB00022423,G18,,,,DMSO,10,0.000
AB00022423,G19,BRD-K62734952-001-01-0,2.463016,10,DMSO,10,0.025
AB00022423,G20,BRD-K62734952-001-01-0,0.2463016,1,DMSO,10,0.002
AB00022423,G21,BRD-K62734952-001-01-0,2.463016e-002,1.e-001,DMSO,10,0.000
AB00022423,G22,BRD-K29905972-001-10-5,3.8647,10,DMSO,10,0.039
AB00022423,G23,BRD-K29905972-001-10-5,0.38647,1,DMSO,10,0.004
AB00022423,G24,BRD-K29905972-001-10-5,3.8647e-002,1.e-001,DMSO,10,0.000
AB00022423,H01,BRD-K40302533-001-02-9,4.36956,10,DMSO,10,0.044
AB00022423,H02,BRD-K40302533-001-02-9,0.436956,1,DMSO,10,0.004
AB00022423,H03,BRD-K40302533-001-02-9,4.36956e-002,1.e-001,DMSO,10,0.000
AB00022423,H04,BRD-K57252450-001-02-5,5.886559,10,DMSO,10,0.059
AB00022423,H05,BRD-K57252450-001-02-5,0.5886559,1,DMSO,10,0.006
AB00022423,H06,BRD-K57252450-001-02-5,5.886559e-002,1.e-001,DMSO,10,0.001
AB00022423,H07,BRD-K77908580-001-05-4,3.764085,10,DMSO,10,0.038
AB00022423,H08,BRD-K77908580-001-05-4,0.3764085,1,DMSO,10,0.004
AB00022423,H09,BRD-K77908580-001-05-4,3.764085e-002,1.e-001,DMSO,10,0.000
AB00022423,H10,BRD-K40870905-001-01-7,5.21406,10,DMSO,10,0.052
AB00022423,H11,BRD-K40870905-001-01-7,0.521406,1,DMSO,10,0.005
AB00022423,H12,BRD-K40870905-001-01-7,5.21406e-002,1.e-001,DMSO,10,0.001
AB00022423,H13,BRD-K89692698-001-01-8,3.1837242,10,DMSO,10,0.032
AB00022423,H14,BRD-K89692698-001-01-8,0.31837242,1,DMSO,10,0.003
AB00022423,H15,BRD-K89692698-001-01-8,3.1837242e-002,1.e-001,DMSO,10,0.000
AB00022423,H16,BRD-K19352500-070-05-8,5.64138,10,DMSO,10,0.056
AB00022423,H17,BRD-K19352500-070-05-8,0.564138,1,DMSO,10,0.006
AB00022423,H18,BRD-K19352500-070-05-8,5.64138e-002,1.e-001,DMSO,10,0.001
AB00022423,H19,BRD-K12742203-003-01-7,3.455245509,10.0487877137215,DMSO,10,0.035
AB00022423,H20,BRD-K12742203-003-01-7,0.345524551,1.00487877166298,DMSO,10,0.003
AB00022423,H21,BRD-K12742203-003-01-7,3.4552455e-002,0.100487876875471,DMSO,10,0.000
AB00022423,H22,BRD-K19416115-001-05-3,4.073136,10,DMSO,10,0.041
AB00022423,H23,BRD-K19416115-001-05-3,0.4073136,1,DMSO,10,0.004
AB00022423,H24,BRD-K19416115-001-05-3,4.073136e-002,1.e-001,DMSO,10,0.000
AB00022423,I01,BRD-K63828191-003-28-9,5.10044,10,DMSO,10,0.051
AB00022423,I02,BRD-K63828191-003-28-9,0.510044,1,DMSO,10,0.005
AB00022423,I03,BRD-K63828191-003-28-9,5.10044e-002,1.e-001,DMSO,10,0.001
AB00022423,I04,BRD-K68488863-001-04-9,3.754701,10,DMSO,10,0.038
AB00022423,I05,BRD-K68488863-001-04-9,0.3754701,1,DMSO,10,0.004
AB00022423,I06,BRD-K68488863-001-04-9,3.754701e-002,1.e-001,DMSO,10,0.000
AB00022423,I07,BRD-A30984645-001-02-3,5.96742,10,DMSO,10,0.060
AB00022423,I08,BRD-A30984645-001-02-3,0.596742,1,DMSO,10,0.006
AB00022423,I09,BRD-A30984645-001-02-3,5.96742e-002,0.1,DMSO,10,0.001
AB00022423,I10,BRD-K75295174-001-05-0,5.18924,10,DMSO,10,0.052
AB00022423,I11,BRD-K75295174-001-05-0,0.518924,1,DMSO,10,0.005
AB00022423,I12,BRD-K75295174-001-05-0,5.18924e-002,0.1,DMSO,10,0.001
AB00022423,I13,BRD-K48443249-001-01-0,4.994964,10,DMSO,10,0.050
AB00022423,I14,BRD-K48443249-001-01-0,0.4994964,1,DMSO,10,0.005
AB00022423,I15,BRD-K48443249-001-01-0,4.994964e-002,1.e-001,DMSO,10,0.000
AB00022423,I16,BRD-K89391146-001-09-8,1.6716275,5,DMSO,10,0.017
AB00022423,I17,BRD-K89391146-001-09-8,0.16716275,0.5,DMSO,10,0.002
AB00022423,I18,BRD-K89391146-001-09-8,1.6716275e-002,5.e-002,DMSO,10,0.000
AB00022423,I19,BRD-K24844714-001-25-2,1.300772,10,DMSO,10,0.013
AB00022423,I20,BRD-K24844714-001-25-2,0.1300772,1,DMSO,10,0.001
AB00022423,I21,BRD-K24844714-001-25-2,1.300772e-002,1.e-001,DMSO,10,0.000
AB00022423,I22,BRD-K61468417-003-01-1,5.7998,10,DMSO,10,0.058
AB00022423,I23,BRD-K61468417-003-01-1,0.57998,1,DMSO,10,0.006
AB00022423,I24,BRD-K61468417-003-01-1,5.7998e-002,1.e-001,DMSO,10,0.001
AB00022423,J01,BRD-K95412502-003-01-5,3.96951,10,DMSO,10,0.040
AB00022423,J02,BRD-K95412502-003-01-5,0.396951,1,DMSO,10,0.004
AB00022423,J03,BRD-K95412502-003-01-5,3.96951e-002,1.e-001,DMSO,10,0.000
AB00022423,J04,BRD-K33245965-001-03-4,4.735712514,10.0000623225837,DMSO,10,0.047
AB00022423,J05,BRD-K33245965-001-03-4,0.473571251,1.00000623141372,DMSO,10,0.005
AB00022423,J06,BRD-K33245965-001-03-4,4.7357125e-002,0.100000622930209,DMSO,10,0.000
AB00022423,J07,BRD-K88025533-003-01-7,3.43932,10,DMSO,10,0.034
AB00022423,J08,BRD-K88025533-003-01-7,0.343932,1,DMSO,10,0.003
AB00022423,J09,BRD-K88025533-003-01-7,3.43932e-002,1.e-001,DMSO,10,0.000
AB00022423,J10,BRD-K53414658-001-08-2,4.54863,10,DMSO,10,0.045
AB00022423,J11,BRD-K53414658-001-08-2,0.454863,1,DMSO,10,0.005
AB00022423,J12,BRD-K53414658-001-08-2,4.54863e-002,1.e-001,DMSO,10,0.000
AB00022423,J13,BRD-K87782578-001-01-4,4.234402,10,DMSO,10,0.042
AB00022423,J14,BRD-K87782578-001-01-4,0.4234402,1,DMSO,10,0.004
AB00022423,J15,BRD-K87782578-001-01-4,4.234402e-002,1.e-001,DMSO,10,0.000
AB00022423,J16,BRD-K79131256-001-08-8,2.65331,10,DMSO,10,0.027
AB00022423,J17,BRD-K79131256-001-08-8,0.265331,1,DMSO,10,0.003
AB00022423,J18,BRD-K79131256-001-08-8,2.65331e-002,1.e-001,DMSO,10,0.000
AB00022423,J19,BRD-K03243820-001-22-0,2.961999,10,DMSO,10,0.030
AB00022423,J20,BRD-K03243820-001-22-0,0.2961999,1,DMSO,10,0.003
AB00022423,J21,BRD-K03243820-001-22-0,2.961999e-002,1.e-001,DMSO,10,0.000
AB00022423,J22,BRD-A02006392-001-16-4,3.603612,10,DMSO,10,0.036
AB00022423,J23,BRD-A02006392-001-16-4,0.3603612,1,DMSO,10,0.004
AB00022423,J24,BRD-A02006392-001-16-4,3.603612e-002,1.e-001,DMSO,10,0.000
AB00022423,K01,BRD-A20527803-001-01-2,5.1028573,10,DMSO,10,0.051
AB00022423,K02,BRD-A20527803-001-01-2,0.51028573,1,DMSO,10,0.005
AB00022423,K03,BRD-A20527803-001-01-2,5.1028573e-002,1.e-001,DMSO,10,0.001
AB00022423,K04,BRD-K24576554-001-02-2,3.814316,10,DMSO,10,0.038
AB00022423,K05,BRD-K24576554-001-02-2,0.3814316,1,DMSO,10,0.004
AB00022423,K06,BRD-K24576554-001-02-2,3.814316e-002,1.e-001,DMSO,10,0.000
AB00022423,K07,,,,DMSO,10,0.000
AB00022423,K08,,,,DMSO,10,0.000
AB00022423,K09,,,,DMSO,10,0.000
AB00022423,K10,,,,DMSO,10,0.000
AB00022423,K11,,,,DMSO,10,0.000
AB00022423,K12,,,,DMSO,10,0.000
AB00022423,K13,BRD-K18834913-001-01-1,5.55465,10,DMSO,10,0.056
AB00022423,K14,BRD-K18834913-001-01-1,0.555465,1,DMSO,10,0.006
AB00022423,K15,BRD-K18834913-001-01-1,5.55465e-002,1.e-001,DMSO,10,0.001
AB00022423,K16,BRD-K24968862-001-01-0,4.74333,10,DMSO,10,0.047
AB00022423,K17,BRD-K24968862-001-01-0,0.474333,1,DMSO,10,0.005
AB00022423,K18,BRD-K24968862-001-01-0,4.74333e-002,1.e-001,DMSO,10,0.000
AB00022423,K19,BRD-K41599323-001-01-5,6.38822,10,DMSO,10,0.064
AB00022423,K20,BRD-K41599323-001-01-5,0.638822,1,DMSO,10,0.006
AB00022423,K21,BRD-K41599323-001-01-5,6.38822e-002,0.1,DMSO,10,0.001
AB00022423,K22,BRD-K38852836-001-01-3,3.643978,10,DMSO,10,0.036
AB00022423,K23,BRD-K38852836-001-01-3,0.3643978,1,DMSO,10,0.004
AB00022423,K24,BRD-K38852836-001-01-3,3.643978e-002,1.e-001,DMSO,10,0.000
AB00022423,L01,BRD-K82941592-238-02-9,5.21616,10,DMSO,10,0.052
AB00022423,L02,BRD-K82941592-238-02-9,0.521616,1,DMSO,10,0.005
AB00022423,L03,BRD-K82941592-238-02-9,5.21616e-002,0.1,DMSO,10,0.001
AB00022423,L04,BRD-K19796430-001-09-8,5.294018927,10.904304109532,DMSO,10,0.053
AB00022423,L05,BRD-K19796430-001-09-8,0.529401893,1.09043041157113,DMSO,10,0.005
AB00022423,L06,BRD-K19796430-001-09-8,5.2940189e-002,0.109043040539191,DMSO,10,0.001
AB00022423,L07,BRD-K20505391-001-01-4,2.873999,10,DMSO,10,0.029
AB00022423,L08,BRD-K20505391-001-01-4,0.2873999,1,DMSO,10,0.003
AB00022423,L09,BRD-K20505391-001-01-4,2.873999e-002,1.e-001,DMSO,10,0.000
AB00022423,L10,BRD-K66296774-236-11-3,4.569857401,10.5185808380463,DMSO,10,0.046
AB00022423,L11,BRD-K66296774-236-11-3,0.45698574,1.05185808357446,DMSO,10,0.005
AB00022423,L12,BRD-K66296774-236-11-3,4.5698574e-002,0.105185808357446,DMSO,10,0.000
AB00022423,L13,BRD-K72827473-001-01-0,5.80121,10,DMSO,10,0.058
AB00022423,L14,BRD-K72827473-001-01-0,0.580121,1,DMSO,10,0.006
AB00022423,L15,BRD-K72827473-001-01-0,5.80121e-002,1.e-001,DMSO,10,0.001
AB00022423,L16,BRD-K38003476-001-03-4,2,4.04021514443004,DMSO,10,0.020
AB00022423,L17,BRD-K38003476-001-03-4,0.2,0.404021514443004,DMSO,10,0.002
AB00022423,L18,BRD-K38003476-001-03-4,2.e-002,4.04021514443004e-002,DMSO,10,0.000
AB00022423,L19,BRD-A64808605-003-01-9,3.7490428,10,DMSO,10,0.037
AB00022423,L20,BRD-A64808605-003-01-9,0.37490428,1,DMSO,10,0.004
AB00022423,L21,BRD-A64808605-003-01-9,3.7490428e-002,1.e-001,DMSO,10,0.000
AB00022423,L22,BRD-K59875992-001-01-8,2.653098,10,DMSO,10,0.027
AB00022423,L23,BRD-K59875992-001-01-8,0.2653098,1,DMSO,10,0.003
AB00022423,L24,BRD-K59875992-001-01-8,2.653098e-002,1.e-001,DMSO,10,0.000
AB00022423,M01,BRD-K19295594-015-11-9,5.786064,10,DMSO,10,0.058
AB00022423,M02,BRD-K19295594-015-11-9,0.5786064,1,DMSO,10,0.006
AB00022423,M03,BRD-K19295594-015-11-9,5.786064e-002,1.e-001,DMSO,10,0.001
AB00022423,M04,BRD-K63504947-001-16-2,2.382845,10,DMSO,10,0.024
AB00022423,M05,BRD-K63504947-001-16-2,0.2382845,1,DMSO,10,0.002
AB00022423,M06,BRD-K63504947-001-16-2,2.382845e-002,1.e-001,DMSO,10,0.000
AB00022423,M07,BRD-K50168500-001-05-3,4.85938,10,DMSO,10,0.049
AB00022423,M08,BRD-K50168500-001-05-3,0.485938,1,DMSO,10,0.005
AB00022423,M09,BRD-K50168500-001-05-3,4.85938e-002,1.e-001,DMSO,10,0.000
AB00022423,M10,BRD-K56032964-001-02-1,2.64507,5,DMSO,10,0.026
AB00022423,M11,BRD-K56032964-001-02-1,0.264507,0.5,DMSO,10,0.003
AB00022423,M12,BRD-K56032964-001-02-1,2.64507e-002,5.e-002,DMSO,10,0.000
AB00022423,M13,BRD-K21152241-001-07-3,2.491218139,10.0330572128183,DMSO,10,0.025
AB00022423,M14,BRD-K21152241-001-07-3,0.249121814,1.00330572168457,DMSO,10,0.002
AB00022423,M15,BRD-K21152241-001-07-3,2.4912181e-002,0.100330570557509,DMSO,10,0.000
AB00022423,M16,BRD-K32842773-434-01-8,5.994971,10,DMSO,10,0.060
AB00022423,M17,BRD-K32842773-434-01-8,0.5994971,1,DMSO,10,0.006
AB00022423,M18,BRD-K32842773-434-01-8,5.994971e-002,1.e-001,DMSO,10,0.001
AB00022423,M19,BRD-A94523291-304-01-9,4.864035,10,DMSO,10,0.049
AB00022423,M20,BRD-A94523291-304-01-9,0.4864035,1,DMSO,10,0.005
AB00022423,M21,BRD-A94523291-304-01-9,4.864035e-002,1.e-001,DMSO,10,0.000
AB00022423,M22,BRD-A68281735-001-02-0,3.354394,10,DMSO,10,0.034
AB00022423,M23,BRD-A68281735-001-02-0,0.3354394,1,DMSO,10,0.003
AB00022423,M24,BRD-A68281735-001-02-0,3.354394e-002,0.1,DMSO,10,0.000
AB00022423,N01,BRD-K07881437-001-04-6,4.569857401,9.62977805935163,DMSO,10,0.046
AB00022423,N02,BRD-K07881437-001-04-6,0.45698574,0.962977805724439,DMSO,10,0.005
